"ABronte_Agnes_1" "ABronte_Agnes_2" "ABronte_Agnes_3" "ABronte_Agnes_4" "ABronte_Agnes_5" "ABronte_Agnes_6" "ABronte_Agnes_7" "ABronte_Agnes_8" "ABronte_Agnes_9" "ABronte_Agnes_10" "ABronte_Agnes_11" "ABronte_Agnes_12" "ABronte_Agnes_13" "ABronte_Agnes_14" "ABronte_Agnes_15" "ABronte_Tenant_1" "ABronte_Tenant_2" "ABronte_Tenant_3" "ABronte_Tenant_4" "ABronte_Tenant_5" "ABronte_Tenant_6" "ABronte_Tenant_7" "ABronte_Tenant_8" "ABronte_Tenant_9" "ABronte_Tenant_10" "ABronte_Tenant_11" "ABronte_Tenant_12" "ABronte_Tenant_13" "ABronte_Tenant_14" "ABronte_Tenant_15" "Austen_Emma_1" "Austen_Emma_2" "Austen_Emma_3" "Austen_Emma_4" "Austen_Emma_5" "Austen_Emma_6" "Austen_Emma_7" "Austen_Emma_8" "Austen_Emma_9" "Austen_Emma_10" "Austen_Emma_11" "Austen_Emma_12" "Austen_Emma_13" "Austen_Emma_14" "Austen_Emma_15" "Austen_Pride_1" "Austen_Pride_2" "Austen_Pride_3" "Austen_Pride_4" "Austen_Pride_5" "Austen_Pride_6" "Austen_Pride_7" "Austen_Pride_8" "Austen_Pride_9" "Austen_Pride_10" "Austen_Pride_11" "Austen_Pride_12" "Austen_Pride_13" "Austen_Pride_14" "Austen_Pride_15" "Austen_Sense_1" "Austen_Sense_2" "Austen_Sense_3" "Austen_Sense_4" "Austen_Sense_5" "Austen_Sense_6" "Austen_Sense_7" "Austen_Sense_8" "Austen_Sense_9" "Austen_Sense_10" "Austen_Sense_11" "Austen_Sense_12" "Austen_Sense_13" "Austen_Sense_14" "Austen_Sense_15" "CBronte_Jane_1" "CBronte_Jane_2" "CBronte_Jane_3" "CBronte_Jane_4" "CBronte_Jane_5" "CBronte_Jane_6" "CBronte_Jane_7" "CBronte_Jane_8" "CBronte_Jane_9" "CBronte_Jane_10" "CBronte_Jane_11" "CBronte_Jane_12" "CBronte_Jane_13" "CBronte_Jane_14" "CBronte_Jane_15" "CBronte_Professor_1" "CBronte_Professor_2" "CBronte_Professor_3" "CBronte_Professor_4" "CBronte_Professor_5" "CBronte_Professor_6" "CBronte_Professor_7" "CBronte_Professor_8" "CBronte_Professor_9" "CBronte_Professor_10" "CBronte_Professor_11" "CBronte_Professor_12" "CBronte_Professor_13" "CBronte_Professor_14" "CBronte_Professor_15" "CBronte_Villette_1" "CBronte_Villette_2" "CBronte_Villette_3" "CBronte_Villette_4" "CBronte_Villette_5" "CBronte_Villette_6" "CBronte_Villette_7" "CBronte_Villette_8" "CBronte_Villette_9" "CBronte_Villette_10" "CBronte_Villette_11" "CBronte_Villette_12" "CBronte_Villette_13" "CBronte_Villette_14" "CBronte_Villette_15" "EBronte_Wuthering_1" "EBronte_Wuthering_2" "EBronte_Wuthering_3" "EBronte_Wuthering_4" "EBronte_Wuthering_5" "EBronte_Wuthering_6" "EBronte_Wuthering_7" "EBronte_Wuthering_8" "EBronte_Wuthering_9" "EBronte_Wuthering_10" "EBronte_Wuthering_11" "EBronte_Wuthering_12" "EBronte_Wuthering_13" "EBronte_Wuthering_14" "EBronte_Wuthering_15"
"that" 1.3 0.5 1 0.9 1 0.6 1.2 0.8 2.2 1.5 1.2 1.2 1.6 1.4 0.9 1.1 1 1.3 1.2 1.5 1.4 1.2 1.4 1.3 0.5 1.2 1.1 0.6 1.2 1.2 1.7 1 1.2 1 1.2 0.8 1 1 1.1 1.4 1.1 1.2 0.6 1.5 1.3 1.4 1.3 1.5 1 1.4 1.2 1.2 1.8 1 1 0.3 0.6 1.6 1.3 1.2 1.4 1.6 1.5 1.3 0.8 0.5 1 1.3 0.5 0.7 1.3 1.5 1.5 1.1 0.7 0.9 1.2 0.6 0.7 1.4 1.2 0.8 1 0.9 0.9 0.4 0.6 1.4 0.7 0.8 1.1 0.9 1 0.7 0.7 0.9 0.7 0.7 0.8 0.9 1 0.9 1.5 0.5 1 1 1.2 0.4 1 0.8 1 0.7 0.9 0.9 0.9 1 0.9 1.2 1.2 0.9 1.4 1.1 1.4 0.8 1.4 0.9 1.1 1.5 1.3 0.9 0.7 0.7 1.6 0.9 1.3
"my" 1.8 1.4 1.9 2 1.2 1.3 1 1.6 1.4 0.9 1.2 2.1 1.2 1.1 1.5 0.8 2.2 1.7 1.4 1.1 1.4 1.6 1.1 1.8 2.2 1.3 1.2 1.7 1.6 1.3 0.6 0.6 0.6 0.1 0.5 0.6 0.6 0.1 0.2 0.5 0.2 0.5 0.3 0.5 0.4 0.5 0.8 0.5 0.7 0.2 0.6 0.7 0.6 0.4 0.5 0.3 0.2 0.9 0.1 0.4 0.3 0.5 0.3 0.7 0.8 0.4 0.4 0.2 0.7 0.4 0.2 0.5 0.6 0.5 0.4 1.5 0.9 0.5 1.1 2.2 0.9 2 1.2 0.5 1.6 1.1 1.5 1.7 1.7 1.3 1.6 1.3 1.1 1.3 1.5 1.2 1.2 1.3 1.6 1.3 0.8 0.9 1.2 1.7 0.9 0.8 1.1 1.2 0.9 1.2 1.2 0.9 1.2 0.7 1 1.4 0.7 1.2 1.4 0.9 1.1 0.8 0.8 0.5 1.1 1.5 0.2 0.8 1.6 1.2 0.9 1.4 1 0.6 1
"not" 1.3 0.9 0.5 0.6 0.7 1.1 1 0.9 0.4 1.1 0.9 0.7 1.1 1 0.9 1.1 0.5 0.8 0.3 1.2 0.8 0.6 0.5 0.7 0.8 0.8 0.6 0.8 1 0.8 0.6 1.6 0.8 1.2 1.6 1.5 1.4 1.3 1.3 1.5 1.6 1.4 1.5 1 1.3 0.9 1.2 1.8 1.6 0.9 0.9 0.8 0.6 1.3 0.8 1.4 0.9 1.4 1.4 0.9 1.1 1.5 1.2 1.9 0.6 0.9 1.6 1.1 1.3 0.7 0.7 0.7 1.5 0.7 1.1 0.6 0.9 1.1 0.7 0.6 0.4 0.8 0.9 0.5 1 0.6 1.5 1.1 0.8 0.9 1.2 0.4 0.8 0.9 0.8 0.6 1.1 1 0.9 0.9 1.1 0.4 1.2 1.5 0.4 0.6 1 0.7 1 1.1 1 1.5 1.4 1.2 1.1 0.4 1.2 1.1 1.2 0.8 0.7 0.8 1.1 1 1.1 0.7 0.9 1.1 0.5 1.2 0.8 0.8 0.9 0.9 0.8
"as" 1 1.2 1.4 0.7 1.4 0.5 1.1 1 1.2 1.1 1.4 0.8 0.9 0.5 1.5 0.9 1 1.1 0.7 0.9 1.2 0.6 1.5 0.9 1 0.4 1.7 1 0.7 1 1.1 0.8 1.3 0.6 0.8 1 0.6 0.4 1.3 0.8 0.7 1.3 0.8 0.8 1.4 1.4 0.5 0.7 1.1 0.8 0.7 0.3 0.5 1.5 0.9 1.1 0.6 0.7 0.9 0.9 0.7 0.6 0.8 1.2 0.7 0.7 1.3 0.9 1.5 0.9 1.4 1 0.7 1 1.2 1.3 0.8 0.7 1.1 1.2 1.4 0.5 1.4 0.9 0.4 1.1 0.8 0.5 0.6 0.7 0.9 0.9 0.9 0.4 1 0.7 1 0.7 0.8 1 1.1 0.9 1.1 0.6 0.5 0.7 0.5 0.5 1.4 0.8 0.9 1.3 0.5 0.8 0.8 0.8 0.7 1.4 0.7 0.5 0.7 0.5 0.7 1 0.2 0.6 1 0.5 0.1 1.3 0.6 1.2 1 0.5 0.7
"his" 0.6 0.7 0.9 0.6 0.7 0.9 0.8 0.7 0.4 0.7 0.7 0.5 0.5 0.5 0.3 1 0.9 0.8 0.8 1.1 0.9 1.3 1.1 1.2 1.3 1 1.3 1.2 1 1.3 0.9 0.7 1.1 0.6 0.8 0.6 0.6 0.9 0.6 0.6 1.2 0.7 0.6 0.3 0.6 0.9 0.8 1.3 1.4 1.4 1.3 1.6 0.9 0.8 1.4 0.8 1.2 1.2 1 1.4 0.8 1.4 0.9 0.6 1.3 1.3 0.7 0.7 1.2 2.2 0.7 0.7 0.3 0.6 0.9 0.6 0.4 0.8 0.4 0.8 0.7 1 0.2 0.3 0.8 0.7 0.7 0.9 0.4 0.8 0.2 0.6 0.4 1.1 0.6 0.7 0.3 0.6 0.5 0.6 0.5 0.5 0.5 0.5 0.6 1.4 1.2 0.5 1 0.7 0.5 1.1 0.6 0.5 0.1 0.8 0.9 0.3 0.7 1.1 1 1.6 1.1 1 0.8 1.3 0.9 1.2 1.4 0.7 0.9 0.7 1.5 1.3 2.3
"but" 0.5 1.8 1.4 1 1 1.1 1.9 0.9 1.6 1.3 1.5 1.1 1.3 0.9 1.2 1.3 1.6 1.1 0.9 0.8 0.8 1.5 0.9 1.6 1.3 1.1 1.1 0.7 0.8 1.2 0.9 1.1 0.7 1.2 0.8 0.8 0.3 0.9 0.4 1 1.2 1.2 1.1 1.2 1.1 0.8 0.8 0.9 0.5 0.9 0.6 0.6 0.6 0.7 0.7 0.6 0.8 0.9 0.6 0.6 0.4 0.8 1.3 0.4 0.9 0.6 0.8 0.9 1.1 0.7 1.3 0.7 0.9 0.3 0.7 0.9 0.8 0.6 0.7 1 0.5 0.5 0.3 0.8 0.9 0.9 0.4 0.6 0.8 0.7 1.2 0.5 0.9 1 0.4 0.6 0.3 0.5 0.5 0.3 0.7 0.5 0.9 0.9 0.7 0.9 0.5 0.6 0.7 0.9 1 0.8 0.7 0.6 0.5 0.5 0.9 0.7 0.5 0.5 0.5 0.7 0.9 1.1 1 0.4 0.5 0.8 0.4 0.8 0.4 0.2 0.7 0.4 0.6
"for" 0.8 1.3 1.2 0.9 0.8 0.6 0.8 0.3 1.4 0.9 0.8 1 0.8 0.5 1.1 1.6 1.5 1.2 1.3 0.7 0.8 1.3 0.6 0.8 1.5 0.8 1 1.6 1 0.6 0.7 0.6 0.9 0.9 0.3 0.7 0.3 1.1 0.8 0.6 0.4 0.2 0.6 0.7 0.8 0.8 1 1.5 0.4 1.1 0.4 0.7 0.6 0.9 1.3 0.5 1.2 1 0.2 1.2 0.8 0.8 1 0.9 1.6 1.4 0.9 1 1 1.1 1.1 1.6 1.2 1.7 1.2 0.7 1.1 1.5 0.4 1.1 0.5 0.8 0.8 0.7 0.4 0.4 0.6 0.7 1.1 0.4 1.4 0.9 1.1 0.8 0.6 0.5 0.2 0.7 0.7 0.6 0.8 0.9 0.7 0.6 0.6 0.8 0.4 0.6 0.4 0.8 0.6 0.9 0.3 0.5 0.5 1.3 0.6 0.2 1.1 0.8 0.7 0.6 0.7 1.1 0.5 0.5 0.5 0.5 0.5 0.7 1 0.4 0.9 1 0.6
"had" 0.5 0.7 0.7 0.7 1 0.4 0.8 0.5 0.5 0.9 0.7 0.5 0.5 0.8 0.9 0.4 0.6 0.7 0.5 0.4 0.8 0.3 0.5 0.5 1.1 0.9 0.4 0.4 0.5 0.6 0.8 0.9 1.6 1 0.5 0.8 0.9 0.9 0.8 1.8 1 0.9 1 0.5 1.1 0.7 1.5 0.6 0.9 0.9 0.7 1.1 0.7 0.8 1.3 1.2 1.1 1 0.7 0.6 1.1 0.9 1.1 1.2 0.5 1.1 0.8 1.2 0.8 1.2 0.8 0.9 1.1 0.8 0.9 0.7 0.6 0.6 0.6 1 1.2 0.6 0.9 0.4 1.2 0.8 0.6 0.9 1 1 0.9 1.3 1.1 0.6 0.8 0.8 1.1 1 0.7 0.8 0.7 1 0.6 1.1 0.7 0.6 1 0.4 0.6 0.4 1 0.3 0.7 1.1 1 0.5 1.1 0.8 0.5 0.3 0.9 1 1 0.6 0.3 0.7 1 0.5 0.5 0.5 0.6 0.6 0.5 0.6 0.9
"me" 0.8 1 1.1 0.8 1.2 1 1 0.9 0.9 1 0.4 1.1 0.9 0.4 1 1.7 0.7 0.6 1.4 0.9 1.2 1.3 1 1 1.2 1.6 0.6 0.9 0.9 1.3 0.2 0.1 0.8 0.3 0.3 0.4 0.3 0.4 0.5 0.5 0.1 0.3 0.6 0.4 0.5 0.1 0.2 0.2 0.3 0.7 0.4 0.5 0.6 0.5 0.6 0.5 0.1 0.2 0 0.3 0.6 0.1 0.3 0.3 0.3 0.4 0.4 0.3 0.5 0.4 0.3 0.3 0 0.6 0.6 1.5 0.6 1.2 1 1 1.3 1 1.5 1.8 1.8 2 1 1.7 0.9 0.9 0.9 1 0.4 0.8 0.6 1.1 0.7 0.9 0.7 1 1.3 1.3 0.8 1.4 0.7 1.2 1.2 0.8 0.8 0.7 1.3 0.7 1.1 1.5 1 1.5 1.1 1.2 0.9 0.7 0.7 0.7 0.6 0.7 1 0.4 0.8 0.8 1 0.7 0.9 1.2 0.2 0.9 1.2
"be" 0.9 0.7 0.9 0.7 0.7 0.5 0.8 1.4 0.6 1.1 0.8 1 0.3 0.4 0.7 0.9 0.8 0.4 0.7 0.8 0.2 0.5 0.7 0.7 1.1 0.5 0.7 0.8 0.9 0.5 0.9 1.4 1.7 0.4 1.8 1.1 1.8 1.1 0.8 1.1 1 0.6 1.3 1.3 1.6 1 1.2 0.9 0.8 1 1 0.8 1.5 0.9 1.1 1.1 1.2 0.8 0.9 0.9 0.7 1.4 1.1 1.3 1.7 1.3 1.4 0.6 1 1 1.3 0.9 0.9 1.2 1.1 0.3 0.4 0.9 0.1 0.2 1.2 0.7 0.4 0.4 0.2 0.7 0.8 0.6 0.9 0.7 0.4 0.3 0.4 0.3 0.5 0.1 0.4 0.4 0.2 0.6 0.4 0.3 0.6 0.1 0.7 0.9 0.2 0.5 0.2 0.7 0.5 0.7 0.7 0.5 0.2 0.8 0.9 0.5 0.4 0.5 0.3 0.7 0.7 0.7 0.5 0.4 0.7 0.7 0.4 0.4 0.7 0.8 0.7 0.2 1.3
"with" 0.5 0.4 1.3 0.8 0.5 0.3 1 0.9 1.1 0.8 0.7 0.5 1.2 1.5 0.9 0.8 0.9 0.4 1 0.9 0.2 0.6 0.7 1 1.3 0.5 0.9 1.2 0.8 0.3 1 0.9 0.7 0.8 0.5 1 0.5 0.5 0.6 0.6 0.3 0.9 1.1 0.8 1.2 0.2 0.6 1.1 1.3 0.7 1.2 1.1 0.4 0.8 0.7 1.1 1.1 0.3 0.8 0.8 0.8 0.6 0.7 0.8 0.9 0.9 0.5 1.3 0.5 1 0.6 0.6 0.6 0.6 0.7 0.7 0.5 0.4 0.7 0.4 0.7 0.9 0.7 0.7 1 0.3 0.7 0.9 0.4 0.9 1 1.6 0.7 0.9 0.5 0.3 0.4 0.5 0.8 1 0.9 1.2 0.7 1.1 0.8 0.5 0.8 0.8 0.9 0.6 1.1 1.1 1 0.5 1 0.2 0.9 0.8 0.5 1 0.8 1.1 0.6 0.3 0.6 1.1 0.4 0.4 0.4 1.1 0.4 0.5 0.5 0.7 0.4
"at" 0.4 0.6 0.6 1.1 0.9 0.5 0.5 0.4 0.5 0.6 0.6 0.4 0.6 0.1 0.2 0.3 0.2 0.5 0.4 0.5 0.6 1.1 0.5 0.8 0.9 0.6 0.4 0.7 0.7 0.3 0.7 0.1 0.8 0.4 0.6 0.4 0.2 0.6 0.9 0.9 0.6 1 0.3 0.8 1 0.3 0.6 0.4 0.7 1.4 0.2 0.6 0.7 0.3 0.6 0.3 0.5 0.6 0.6 0.8 0.7 1 0.4 1.1 0.8 0.5 0.8 0.8 0.7 0.5 0.6 1.1 0.6 0.6 1.4 0.5 0.6 0.7 0.6 0.5 1.4 1 0.7 0.9 1.3 0.7 0.8 0.5 0.6 0.5 0.6 0.7 1 0.9 0.3 0.6 1 0.8 0.6 0.6 1.1 0.6 0.9 0.9 0.7 0.9 0.3 0.5 0.3 0.8 1.1 0.6 0.6 0.7 0.3 0.5 0.4 0.6 0.5 1 0.7 0.6 1.1 0.9 1.1 1.1 0.5 0.8 1 0.9 0.5 0.5 0.6 0.8 0.6
"is" 0.5 0.6 0.4 0.3 0.6 0.6 0.2 0.6 0.4 0.3 0.1 0.8 0.3 0.6 0.7 0.6 0.4 1 0.8 0.3 0.7 0.4 0.7 0.8 0.9 0.8 0.5 0.3 0.4 1 0.6 0.3 0.9 0.7 0.7 0.9 0.8 0.4 0.6 0.4 0.8 0.7 0.6 0.8 1 1.1 1.1 0.7 0.9 0.5 1.5 0.9 0.6 0.8 1.1 0.7 0.9 0.9 0.4 1 0.4 0.3 0.8 0.9 0.4 1.1 0.7 1.1 0.9 0.6 0.3 0.5 0.4 0.8 0.5 1.1 1 0.5 0.6 0.6 0.4 0.7 1.2 0.6 0.4 0.7 0.7 0.9 1 0.6 0.5 0.7 0.5 0.9 0.7 0.5 0.6 0.3 0.4 0.1 0.7 0.1 1 0.7 1 0.2 0.3 0.9 0.6 0.1 0.6 0.3 0.7 0.4 0.2 0.5 0.5 0.4 0.2 0.3 0.8 0.3 0.5 0.4 1.2 0.5 0.3 0.4 0.3 0.2 0.5 0.5 0.3 0.3 0.3
"have" 0.6 0.7 0.4 0.5 0.2 0.7 0.6 0.6 0.3 0.6 0.8 0.5 0.4 0.7 0.4 0.5 0.8 0.3 1 0.4 0.5 0.4 0.9 0.3 0.5 0.8 1 0.6 0 0.3 0.9 1.1 0.6 1 0.4 1.2 1.1 0.9 1 1 0.5 1 0.3 0.8 0.6 0.5 0.5 0.7 0.5 0.9 1 0.7 0.6 0.3 0.6 0.4 0.1 1 1 0.1 0.7 0.3 0.6 1.3 0.7 0.5 0.6 0.6 0.8 0.7 0.6 1.1 1 0.7 0.7 0.8 0.8 0 0.3 0.2 0.8 0.7 0.7 0.3 0.6 0.8 0.4 0.9 0.5 1 1 0.6 1.1 0.5 1.1 0.8 0.1 0.4 0.4 0.7 0.9 0.2 0.6 0.6 0.5 0.2 0.6 0.4 0.5 0.4 0.3 0.3 0.4 0.3 0.5 0.7 0.8 0.5 0.4 0.6 0.3 0.4 0.9 0.7 0.5 0.5 0.6 0.4 0.4 0.4 0.4 0.3 0.4 0.8 0.3
"him" 0.4 0.5 0.2 0.6 0.7 0.4 0.4 0.8 0.5 0.4 0.5 0.2 0.3 0.7 0.9 1.1 0.4 0.6 0.7 1 1 0.6 1.1 0.9 0.3 1 0.7 0.5 0.4 0.9 0.3 0.8 0.7 0.7 0.6 0.1 1.1 0.6 0.6 0.7 0.7 0.1 0.2 0.4 0.2 0.5 0.7 0.3 0.5 0.5 0.6 1.1 0.6 0.5 0.9 1 1.2 0.5 1.4 0.6 0.2 0.6 0.4 0.7 0.4 0.5 0.5 0.7 0.4 0.4 0.7 0.8 0.7 0.5 0.4 0.1 0.6 0.3 0.5 0.5 0.2 0.4 0.3 0.3 0.3 0.3 0.3 0.2 0.5 0.2 0.2 0.3 0.4 0.2 0.3 0 0.4 0 0.3 0.1 0.2 0.3 0.2 0.8 0.4 0.6 0.1 0.5 0.4 0.2 0.3 0.4 0.7 0.5 0.2 0.3 0.1 0.8 0.3 1.1 0.9 1 0.5 0.4 0.6 1 1.3 0.9 0.4 0.8 0.6 0.2 0.7 0.7 0.9
"on" 0.3 0.5 0.3 0.3 0.3 0.3 0.1 0.5 0.4 0.4 0.1 0.2 0.5 0.6 0.4 0.5 0.2 0.7 0.4 0.5 0.2 0.3 0.3 0.5 0.3 0.2 0.1 0.5 0.5 0.5 0.7 0.2 0.6 0.2 0.4 0.1 0.4 0.2 0.6 0.6 0.5 0.1 0.2 0.6 0.4 0.6 0.7 0.8 0.3 0.5 0.2 0.4 0.3 1.1 0.7 0.5 0.5 0.4 0.4 0.5 0.2 0.7 0.8 1 0.5 0.2 0.2 0.5 0.7 0.7 0.3 0.9 0.3 0.8 0.6 0.9 0.9 0.4 0.2 0.9 0.8 0.3 0.7 0.4 0.4 0.9 0.7 0.9 0.6 0.6 0 0.7 0.6 0.2 0.5 0.4 1 0.5 0.7 0.3 0.6 0.3 1.2 0.3 0.4 0.9 0.8 0.8 0.8 0.6 0.9 0.4 0.2 1.2 0.6 1.1 0.6 0.5 0.3 0.2 0.7 0.7 0.5 1.2 0.5 0.5 0.5 0.5 0.8 0.7 0.2 0.3 0.6 0.7 0.5
"s" 0.4 0.6 0.5 0.5 0.3 0.5 0.2 0.4 0.3 0.4 0.4 0.8 0.2 0.5 0.4 0.3 0.4 0.7 0.5 0.3 0.1 0.7 0.4 0.8 0.7 0.3 0.3 0.6 0.5 0.4 0.4 0.4 0.4 1 0.8 0.2 0.1 0.8 0.8 0.8 0.7 1.1 0.2 0.2 0.6 0.3 0.2 0.2 0.6 0.3 0.4 0.2 0.4 0.7 0.5 0.9 0.7 0.2 0.6 0.9 0.6 0.3 1 0.3 0.3 0.9 0.5 0.6 0.8 0 0.8 0.7 0.4 0.8 0.7 0 0.2 0.3 0.5 0.3 0.4 0.2 0 0.4 0.3 0.3 0.2 0.2 0.6 0.5 0.1 0.3 0.5 0.1 0.6 0.2 0.8 0.5 0.1 0.3 0.2 0.6 0.5 0.1 0.2 0.3 0.3 0.4 0.2 0.2 0.1 0.5 0.4 0.1 0.7 0.4 0.5 0.2 0.1 0.2 0.8 0.4 0.7 1 0.5 0.6 0.6 0.7 0.6 0.6 0.7 0.2 0.8 0.3 1.1
"so" 0.7 0.8 0.8 0.5 0.6 0.6 1.1 1 0.4 0.5 0.3 0.4 0.4 0.5 0.4 0.6 0.6 0.3 0.6 0.4 0.5 0.4 0.5 0.1 0.5 0.7 0.3 0.8 0.4 0.3 0.7 0.5 0.7 0.3 0.4 0.5 0.6 0.4 0.5 0.4 0.9 0.8 1 0.4 0.3 0.8 0.2 0.5 0.7 0.5 0.4 0.5 0.3 0.9 0.4 0.6 0.1 0.5 0.3 0.5 0.5 0.8 0.4 0.2 0.5 0.6 0.4 0 0.5 0.3 0.5 0.5 0.1 0.7 0 0.4 0.2 0.1 0.3 0.2 0.2 0.2 0.2 0.4 0.4 0.1 0.1 0.1 0.8 0.6 0.2 0.4 0.7 0.4 0.3 0.5 0.5 0.3 0.5 0.9 0.5 0.3 0.6 0.7 0.6 0.2 0.1 0.3 0.4 0.2 0.3 0.5 0.4 0.3 0.4 0.6 0.4 0.4 0.1 0.6 0.3 0.1 0.1 0.1 0.2 0.5 0.5 0.4 0.3 0.3 0.4 0 0.5 0.3 0.2
"would" 0.6 0.7 0.4 0.8 0.7 0.4 0.2 0.6 0.6 0.6 0.5 0.8 0.4 0.6 0.4 0.5 0.6 0.2 0.3 0.5 0.3 0.5 0.3 0.4 0.3 0.3 0.5 0.6 0.5 0.2 0.7 0.4 0.7 0.2 0.4 0.3 0.5 0.3 0.7 0.7 0.5 0.5 0.8 0.5 0.5 0.5 0.8 0.6 0.4 0.5 0.7 0.2 0.6 0.4 0.4 0.5 0.6 0.3 0.3 0.6 0.7 0.5 0.5 0.1 0.6 0.4 0.6 0.4 0.3 0.4 0.4 0.3 0.3 0.4 0.6 0.4 0.3 0.4 0.2 0.6 0.4 0.2 0.2 0.5 0.8 0.2 0.4 0.3 0.3 0.3 0.4 0.5 0.3 0 0.2 0.4 0.5 0.5 0.7 0.1 0.4 0.2 0.5 0.4 0.3 0.2 0.3 0.5 0.3 0.6 0.9 0.1 0.3 0.3 0.4 0.7 0.3 0.4 0.4 0.3 0.3 0.3 0.3 0.2 0.2 0.5 0.4 0.7 0.4 0.5 0.2 0.4 0.5 0.5 0
"by" 0.4 0.7 0.4 0.3 0.3 0.1 0.1 0.5 0.2 0.4 0.3 0.1 0.3 0.5 0.5 0.6 0.4 0 0.5 0.3 0.4 0.3 0.7 0.4 0.2 0.1 0.5 0.6 0.4 0.2 0.3 0.4 0.2 0.2 0.5 0.3 0.5 0 0.3 0.4 0.3 0.2 0.2 0.3 0.5 0.4 0.5 0.9 0.7 0.5 0.3 0.5 0.5 0.5 0.3 0.1 0.4 0.3 0.5 0.4 0.4 0.7 0.8 0.8 0.4 1.3 0.8 0.7 0.6 0.5 0.5 0.5 0.8 0.9 0.7 0.4 0.1 0.3 0.4 0.6 0.4 0.4 0.3 0.1 0.2 0.3 0.6 0.4 0.3 0.6 0.8 0.3 0.1 0.5 0.8 0.5 0.7 0.3 0.5 0.3 0.1 0.3 0 0.4 0.4 0.2 0.3 0.4 0.1 0.3 0.4 0.1 0.5 1 0.2 0.3 0.4 0.4 0.3 0.1 0.1 0.6 0.6 0.4 0.5 0.1 0.6 0.4 0.3 0.4 0.4 0.5 0.4 0.4 0.1
"all" 0.6 0.9 0.6 0.9 0.5 0.3 0.4 0.1 0.4 0.2 0.5 0.4 0.4 0.6 0.4 0.6 0.2 0.9 0.4 0.6 0.3 0.7 0.5 0.2 0.5 0.2 0.7 0.7 0.3 0.7 0.4 0.8 0.1 0.8 0.7 0.6 0.2 0.6 1 0.6 0.7 0.1 0.8 0.8 0.6 0.9 0.7 0.3 0.2 0.6 0.6 0.1 0.4 0.7 0.3 0.4 0.5 0.6 0.3 0.5 0.4 0.4 0.6 0.2 0.3 0.5 0.8 0.2 0.2 0.6 0.6 0.3 0.6 0.8 0.9 0.4 0.2 0.4 0.2 0.4 0.2 0.2 0.2 0.2 0.3 0.4 0.4 0.3 0.6 0.1 0.2 0.1 0.2 0.5 0.3 0.2 0.1 0.1 0.6 0.2 0 0.3 0.2 0 0.3 0.4 0.3 0.4 0 0.5 0 0.4 0.1 0.2 0.6 0 0.3 0.9 0.2 0.5 0 0.2 0.3 0.1 0.3 0.4 0.3 0.2 0.2 0 0 0 0.4 0.2 0.1
"no" 0.6 0.6 0.1 0.6 0.1 0.1 0.3 0.6 0.6 0.6 0.3 0.4 0.4 0.1 0.3 0.5 0.3 0.5 0.4 1 0.3 0.5 0.7 0.3 0.7 0.2 0.5 0.4 0.3 1.1 0.5 0.5 0.4 0.2 0.2 0.5 0.6 0.1 0.5 0.5 0.5 0.1 0 0.5 0.6 0.6 0.6 0.3 0.5 0.5 0.4 0.4 0.2 0.6 0.2 0.7 0.2 0.4 0.2 0.4 0.7 0.1 0.6 0.7 0.3 0.3 0.5 0.3 0.3 0.3 0.3 0.4 0.5 0.2 0.8 0.5 0.5 0.7 0.6 0.6 0.2 0.3 0.8 0.3 0.4 0.6 0.2 0.4 0.5 0.3 0.2 0.3 0.5 0.5 0.4 0.3 0.3 0.3 0.2 0.2 0.1 0.5 0.3 0.8 0.6 0.3 0.2 0.3 0.6 0.3 0.5 0.1 0.2 0.5 0.2 0.4 0.4 0.2 0.5 0.6 0.4 0.2 0.1 0.2 0.2 0.2 0.3 0.3 0.3 0.2 0.5 0.4 0.4 0.3 0
"from" 0.7 0.2 0.3 0.4 0.7 0.4 0.5 0.6 0.3 0.5 0.1 0.3 0.7 0.4 0.2 0.2 0.9 0.6 0.4 0.4 0.2 0.1 0.1 0.2 0.1 0.4 0.5 0.3 0.5 0.5 0.2 0.5 0.4 0.6 0.3 0.3 0.3 0.7 0.1 0.4 0.4 0.4 0.3 0.1 0.2 0.5 0.1 0.6 0.3 0.3 0.4 0.5 0.6 0.2 0.5 0.4 0.4 0.2 0.1 0.6 0.2 0.2 0.5 0.3 0 0.6 0.3 0.3 0 0.6 0.8 0.3 0.2 0.4 0.4 0.4 0.3 0.2 0.1 0.4 0.4 0.2 0.1 0.4 0.2 0.6 0.5 0.5 0.6 0.4 0.3 0.4 0.2 0.2 0.2 0.1 0.6 0.2 0.3 0.4 0.1 0.5 0.3 0.1 0.7 0.1 0.2 0.4 0.6 0.6 0.3 0.4 0.5 0.7 0.2 0.2 0.5 0.3 0.3 0 0.2 0.5 0.2 0.4 0.3 0.3 0.8 0.4 0.5 0.5 0.6 0.5 0.6 0.7 0.4
